#Trace file generated with OGSSim
#Parameters: 500 1 66 1 500 0 8 0 0 5 52000000 0
0.5 0 10134048 8
1 0 124947788 8
1.5 1 175127361 8
2 0 89122529 8
2.5 0 27298511 8
3 0 225905045 8
3.5 0 33181479 8
4 0 98242681 8
4.5 0 161255036 8
5 1 5330505 8
5.5 0 131081176 8
6 0 86879038 8
6.5 1 164791897 8
7 0 57420912 8
7.5 0 228270496 8
8 0 178138860 8
8.5 0 180294714 8
9 0 110271558 8
9.5 0 216601840 8
10 0 121194433 8
10.5 0 36895315 8
11 1 182872193 8
11.5 0 8082161 8
12 1 82824317 8
12.5 0 258842408 8
13 0 71258052 8
13.5 1 243180226 8
14 0 117538384 8
14.5 1 149731889 8
15 0 21475496 8
15.5 0 161766789 8
16 0 236605109 8
16.5 1 36510766 8
17 0 130861563 8
17.5 0 15437658 8
18 1 97313441 8
18.5 0 253299186 8
19 1 191622394 8
19.5 1 29547064 8
20 0 22448651 8
20.5 0 66304985 8
21 0 163860741 8
21.5 1 163385834 8
22 1 73133461 8
22.5 0 102752479 8
23 0 9998753 8
23.5 0 60422713 8
24 1 117067459 8
24.5 0 60742105 8
25 1 8494422 8
25.5 0 143068031 8
26 0 126592137 8
26.5 1 169295723 8
27 0 94857568 8
27.5 0 68748095 8
28 1 99053027 8
28.5 0 151528357 8
29 0 112283006 8
29.5 0 25434049 8
30 0 211122509 8
30.5 1 217306603 8
31 1 13268173 8
31.5 0 220705955 8
32 0 33974795 8
32.5 0 60902050 8
33 1 34689187 8
33.5 0 155953310 8
34 0 198530037 8
34.5 0 27337143 8
35 1 32517914 8
35.5 0 209777507 8
36 0 155250706 8
36.5 0 122655903 8
37 0 160556555 8
37.5 0 52551213 8
38 0 29972030 8
38.5 0 48224295 8
39 1 85539524 8
39.5 0 253382458 8
40 1 8429708 8
40.5 1 184214685 8
41 0 87190459 8
41.5 0 245120197 8
42 0 105516526 8
42.5 1 53261911 8
43 0 229051462 8
43.5 1 137388017 8
44 0 208754873 8
44.5 0 194859857 8
45 0 167008158 8
45.5 0 44996930 8
46 1 114498090 8
46.5 1 258369654 8
47 0 235797645 8
47.5 1 137674631 8
48 1 94102580 8
48.5 1 31460205 8
49 1 206157299 8
49.5 0 59944482 8
50 1 94009029 8
50.5 1 49459164 8
51 0 91285026 8
51.5 0 111827302 8
52 0 53400970 8
52.5 0 95065815 8
53 0 85180419 8
53.5 0 106966924 8
54 0 201811821 8
54.5 0 27263820 8
55 0 240556534 8
55.5 0 9448301 8
56 1 49682705 8
56.5 1 246455940 8
57 0 223086354 8
57.5 0 221121739 8
58 0 122586616 8
58.5 0 230811800 8
59 0 193513514 8
59.5 0 138542198 8
60 1 155256704 8
60.5 1 9292515 8
61 0 1986384 8
61.5 0 138084837 8
62 1 251901465 8
62.5 1 254121025 8
63 0 140910308 8
63.5 0 156988400 8
64 1 32706613 8
64.5 0 46750915 8
65 0 39810195 8
65.5 1 132321564 8
66 0 92284474 8
66.5 1 30584899 8
67 1 207403809 8
67.5 0 96347936 8
68 0 145869996 8
68.5 0 223222009 8
69 0 6572628 8
69.5 0 103210605 8
70 0 92924528 8
70.5 0 146322263 8
71 1 11702332 8
71.5 0 54291483 8
72 1 226075342 8
72.5 1 48535215 8
73 1 203141747 8
73.5 1 150354437 8
74 0 186892976 8
74.5 0 158862414 8
75 0 65062973 8
75.5 1 231424038 8
76 1 154136966 8
76.5 1 183129258 8
77 0 196882787 8
77.5 1 176050522 8
78 0 138848772 8
78.5 0 134187470 8
79 0 14743042 8
79.5 1 57174659 8
80 0 194528131 8
